Configuration,Embedding,Generation,N,Entity-F1_mean,Entity-F1_std,Token-F1_mean,Token-F1_std,Cosine Similarity_mean,Cosine Similarity_std,Semantic Similarity_mean,Semantic Similarity_std,Answer Relevance_mean,Answer Relevance_std,Hallucination_mean,Hallucination_std,Faithfulness_mean,Faithfulness_std,Completeness_mean,Completeness_std,Key Info_mean,Key Info_std,Exact Match_mean,Exact Match_std,Latency (s)_mean,Latency (s)_std
bge_mistral_v01,bge,mistral_v01,100,0.152916298522325,0.2073511425928983,0.1305958290374484,0.14618322689012203,0.34124182411469517,0.29242953118524934,0.3412418194161728,0.29242952576153525,0.38959950728341936,0.32569977366099634,0.8006145236492463,0.2614297845001278,0.22143710894651644,0.23053485515963407,0.11526330532212885,0.2590199002630707,0.15090850695127678,0.26890016962584645,0.01,0.09999999999999996,5.4141225910186765,2.6070214043676048
bge_mistral_v02,bge,mistral_v02,100,0.20675294554308718,0.23306017050348848,0.17041006498760292,0.16266610734461717,0.4268570046219975,0.31366008369974546,0.42685699683148415,0.3136600744190629,0.4943754779733717,0.32591594144338126,0.7892790532997125,0.22658739940590664,0.24842493698093587,0.2345785053577156,0.20870298710882204,0.3414052960096953,0.22647238381169735,0.30558100826074647,0.0,0.0,4.501502060890198,2.649732130098949
bge_phi2,bge,phi2,100,0.1493441036570327,0.2142193549014266,0.12022963062327113,0.14179754257207275,0.32445244323462247,0.30934400246111116,0.3244524312624708,0.3093439860898986,0.31481174148619173,0.30232857288097525,0.7650490080896943,0.2949085452197116,0.25085472744017895,0.25805887915319536,0.1502514796241077,0.26936127892310086,0.13651914716305127,0.23638607312668683,0.0,0.0,4.301281077861786,2.1505096966401993
bge_qwen,bge,qwen,100,0.2024554932565916,0.2337902102579002,0.17192841896679517,0.1836300704272494,0.45288816494867207,0.2757257713718946,0.4528881599288434,0.2757257587021675,0.4639867179654539,0.28892700279487615,0.815699978201047,0.22680283535667656,0.23818115240264304,0.22851621484876286,0.24291349281648142,0.3608375588228692,0.24708855153567902,0.3113623086984018,0.01,0.09999999999999998,3.8775541806221008,3.0179928908263096
minilm_mistral_v01,minilm,mistral_v01,100,0.12362765066195891,0.11032843324216501,0.11387723703924242,0.09605794872706308,0.4276053596008569,0.23262756421439243,0.4276053467206657,0.2326275522147408,0.4732953391224146,0.25095276489532375,0.8772775564289826,0.12138585457947787,0.18918924994005903,0.13730308932760898,0.12058730158730159,0.22626670107918012,0.17025645312938584,0.22539973143661596,0.0,0.0,5.0842242169380185,3.2021974499427714
minilm_mistral_v02,minilm,mistral_v02,100,0.24057964410532331,0.20024202980863073,0.1972545346684181,0.1586865222276074,0.5607022807933391,0.1930165504528415,0.5607022722996772,0.19301653773460167,0.6040689525566996,0.19467785032689355,0.7876770850641165,0.1810907089725215,0.2803622603912461,0.1786899529776023,0.2728903977637374,0.3521596616908688,0.27730650292150283,0.2723428823228503,0.01,0.09999999999999996,5.066716313362122,2.8181657200038455
minilm_phi2,minilm,phi2,100,0.18588124332523934,0.1797553315644501,0.13385909837619356,0.1263239454327238,0.44164271537214517,0.21587950760066227,0.44164271383546294,0.21587950305727405,0.4629551973938942,0.2472759662782639,0.7235304704651666,0.2942877013987441,0.3119183583266457,0.22346595284182022,0.1464332056832057,0.25649553001888553,0.19057798817793065,0.25751055197379735,0.0,0.0,2.9125637459754943,2.213298137741826
minilm_qwen,minilm,qwen,100,0.2095238228110421,0.22846658098574782,0.16220034009018636,0.17242337604644897,0.45536316573619845,0.277317597559931,0.4553631668165326,0.27731759372943937,0.4846125296503305,0.28593655382220184,0.7268428601621888,0.3022197844905723,0.3004061733108396,0.24188525085017976,0.26403896198677984,0.3609857865629486,0.24156516159792393,0.291248552666074,0.01,0.09999999999999998,2.6214913535118103,2.407367043386692
multiqa_mistral_v01,multiqa,mistral_v01,100,0.14676836277871533,0.17933955004086757,0.1225451651823988,0.15141902859773057,0.4102780167851597,0.2496342634472827,0.4102780115418136,0.24963425625496405,0.4677975341491401,0.2598608195957157,0.7373363403646611,0.27285703496826064,0.2994602041424227,0.2252257020394931,0.10501249064555516,0.23270438660755294,0.1328561759470695,0.22038272068935846,0.01,0.09999999999999996,3.4146448040008544,2.6217259680588763
multiqa_mistral_v02,multiqa,mistral_v02,100,0.24309594131290768,0.22234831402689084,0.19166614314029412,0.15280168274618922,0.5555213624611497,0.20230237199227707,0.5555213512759656,0.20230236438856802,0.6742092718929052,0.14062077531378003,0.7175334856679367,0.23931363033655112,0.348210081222509,0.22261397292299048,0.20617507942721414,0.3078964458875802,0.23804306783623183,0.2846304344061756,0.0,0.0,2.717876012325287,1.8612173932143152
multiqa_phi2,multiqa,phi2,100,0.18464660898313764,0.21916277914974194,0.1536317026546301,0.18955099628674765,0.4203101396933198,0.27970817273508153,0.4203101338725537,0.27970816611754556,0.47093343529850246,0.29955068839663995,0.6982217610642943,0.3210009055159568,0.3295299977574565,0.26053528991110814,0.14864356521614586,0.2509799833468802,0.16409543851759514,0.23701379856612675,0.01,0.09999999999999996,4.171255095005035,1.8790296088988712
multiqa_qwen,multiqa,qwen,100,0.1984813000211353,0.21851530803517463,0.15929310489519946,0.17302455288969787,0.4961840723454952,0.24622235642610665,0.49618406377732754,0.24622234701088658,0.5680306760594249,0.2564830786008899,0.7672113231144639,0.24938889815442636,0.2932791487475285,0.22281069004751963,0.21708684776640183,0.325358515820917,0.19742059348479601,0.2902222699549664,0.01,0.09999999999999998,2.2074224376678466,2.107532326408608
