Embedding,Generation,Overall Score,Entity-F1,Token-F1,Semantic Similarity,Hallucination,Faithfulness,Latency (s)
minilm,mistral_v01,0.851,0.832,0.808,0.873,0.095,0.886,0.265
bge,mistral_v01,0.839,0.821,0.788,0.868,0.103,0.878,0.283
multiqa,mistral_v01,0.813,0.797,0.757,0.847,0.107,0.868,0.279
bge,qwen,0.657,0.633,0.540,0.771,0.335,0.678,1.196
minilm,qwen,0.641,0.619,0.533,0.767,0.360,0.661,1.195
multiqa,qwen,0.616,0.593,0.511,0.758,0.378,0.638,1.170
bge,phi2,0.541,0.499,0.450,0.695,0.438,0.591,1.378
multiqa,phi2,0.497,0.470,0.422,0.646,0.469,0.556,1.118
minilm,phi2,0.474,0.439,0.387,0.620,0.488,0.532,1.107
minilm,mistral_v02,0.460,0.417,0.384,0.704,0.583,0.495,1.564
multiqa,mistral_v02,0.459,0.410,0.381,0.693,0.588,0.488,1.752
bge,mistral_v02,0.455,0.409,0.376,0.698,0.584,0.498,1.609
