Metric,Best Configuration,Best Value,Type
Entity-F1,multiqa_mistral_v01,0.8602,Higher is better
Token-F1,multiqa_mistral_v01,0.8391,Higher is better
Cosine Similarity,multiqa_mistral_v01,0.8949,Higher is better
Semantic Similarity,multiqa_mistral_v01,0.8949,Higher is better
Answer Relevance,bge_qwen,0.6744,Higher is better
Hallucination,multiqa_mistral_v01,0.1024,Lower is better
Faithfulness,multiqa_mistral_v01,0.8898,Higher is better
Completeness,multiqa_mistral_v01,0.8655,Higher is better
Key Info,multiqa_mistral_v01,0.8849,Higher is better
Exact Match,multiqa_mistral_v01,0.6500,Higher is better
Latency (s),multiqa_mistral_v01,1.2308,Lower is better
